anno;scaglione_num;soglia_min;soglia_max;aliquota
2020;1;0;15000;0.23
2020;2;15000;28000;0.27
2020;3;28000;55000;0.38
2020;4;55000;75000;0.41
2020;5;75000;.;0.43
2021;1;0;15000;0.23
2021;2;15000;28000;0.27
2021;3;28000;55000;0.38
2021;4;55000;75000;0.41
2021;5;75000;.;0.43
2022;1;0;15000;0.23
2022;2;15000;28000;0.25
2022;3;28000;50000;0.35
2022;4;50000;.;0.43
2023;1;0;15000;0.23
2023;2;15000;28000;0.25
2023;3;28000;50000;0.35
2023;4;50000;.;0.43
2024;1;0;28000;0.23
2024;2;28000;50000;0.35
2024;3;50000;.;0.43
